Output repo commit message	Output repo branch	Output repo commit hash	Project repo commit hash	Project repo folder name	Project repo remotes	Python sys args	Tags	Options hash
Benchmarks for 2DDG 3-zone radial inlet variance convergence; 	2024-11-28_16-45-44_main_a0d7ea0	a63f8f029747425fbf0529e5f56f69b9523e46f7	a0d7ea02d7beaf305b09f6fbb6fbfe60cd16f8c8	2ddgpaper-verification	['https://github.com/jbreue16/2DDGpaper-Verification.git']	['c:\\users\\jmbr\\software\\2ddgpaper-verification\\src\\test_cadet_core\\2ddgpaperverification.py']		None
Benchmarks for 2DDG 2-zone radial inlet variance convergence; 	2024-12-02_20-20-43_main_0ffb1fc	6e35c4e850ead95348246ac8b1f61b9808eb8d12	0ffb1fc6d81fe2538ec97c78a127b34870a7e2e8	2ddgpaper-verification	['https://github.com/jbreue16/2DDGpaper-Verification.git']	['c:\\users\\jmbr\\software\\2ddgpaper-verification\\src\\test_cadet_core\\2ddgpaperverification.py']		None
Test: Compare FV and DG convergence to analytical and numerical reference; 	2025-05-05_16-21-43_main_acddc6c	5ebe0e4060043776c7564b5adcb8e3db439ee222	acddc6c2e2160aeba808d99ddc546638b8895cf2	verify-dg2d	['https://github.com/jbreue16/2DDGpaper-Verification.git']	['c:\\users\\jmbr\\software\\verify-dg2d\\src\\test_cadet_core\\compare_anaref_numref_convergence.py']		
Test: Compare FV and DG convergence to analytical and numerical reference; 	2025-05-05_16-31-35_main_f16de97	7a8af425ffcaac076a2145f925d946300a9f56ce	f16de979931c879cc4a5fb6b0b11368024a6e3e4	verify-dg2d	['https://github.com/jbreue16/2DDGpaper-Verification.git']	['c:\\users\\jmbr\\software\\verify-dg2d\\src\\test_cadet_core\\compare_anaref_numref_convergence.py']		
